donor_id,true_age,predicted_age,predicted_age_sd,n_cells,pseudocell_n
stephenson:C-8937,55.0,52.77950872333934,9.31033545499549,1446,100
stephenson:IVLPS-4,25.0,36.199356844918015,7.453334305697212,173,100
stephenson:C-8946,45.0,36.390560813494396,10.558961103925204,1853,100
stephenson:C-8940,35.0,43.277673608145086,9.942938092284642,1740,100
stephenson:IVLPS-12,25.0,25.2274104127053,11.23783446816904,400,100
stephenson:IVLPS-6,25.0,33.85478301224822,9.262287309344883,408,100
stephenson:C-8943,25.0,32.3020601663028,11.034657822525169,1353,100
stephenson:C-8928,55.0,31.592102220183495,9.081171947866665,1108,100
stephenson:C-8941,55.0,40.33339542285874,8.762336065276529,426,100
stephenson:C-8938,25.0,16.03344271185758,11.867844722195084,661,100
stephenson:C-8930,35.0,33.407675979921926,8.874400765908051,672,100
stephenson:C-8936,55.0,37.48257453922696,11.724918801744131,573,100
stephenson:C-8942,35.0,28.349849373812926,10.675098089758635,1863,100
stephenson:CV0904,38.0,41.6204629759075,7.5189773760618746,2317,100
stephenson:CV0902,57.0,36.093645884752476,9.85344526003231,722,100
stephenson:CV0911,40.0,45.013562191548864,9.554366386488654,423,100
stephenson:CV0929,64.0,59.83678963463769,8.125531748245836,319,100
stephenson:CV0915,44.0,50.73685375838695,7.887477744847961,1007,100
stephenson:CV0917,62.0,50.41148681419551,8.0122074026435,1020,100
stephenson:CV0939,73.0,58.185310915917825,7.665264384957456,715,100
stephenson:CV0926,70.0,72.12486374770832,7.8461642505031906,1270,100
stephenson:CV0934,21.0,14.817065358532698,9.335611299000734,1224,100
stephenson:CV0940,63.0,52.43495648595334,9.163038769992257,550,100
stephenson:CV0944,58.0,48.32594779441913,7.756912262249246,186,100
